region,mean happiness score
England,7.37
Wales,7.40
Scotland,7.41
Northern Ireland,7.58
North East,7.29
North West,7.31
Yorkshire and The Humber,7.34
East Midlands,7.42
West Midlands,7.35
East,7.43
London,7.31
South East,7.45
South West,7.42
